Epoch,Error,b0,b1
0,19409706561.942837,1187.9671605821918,180.60019638698625
1,18983295716.86015,2361.6019592468983,358.90065987755673
2,18567363698.630184,3521.1012901435433,534.9396725567624
3,18161653164.35262,4666.639861794206,708.7451670657289
4,17765913091.100975,5798.39022409839,880.3447309192511
5,17379898620.713074,6916.522795004137,1049.765610770041
6,17003370908.393303,8021.205886849596,1217.0347166202873
7,16636096975.032896,9112.60573237913,1382.1786259811806
8,16277849563.157093,10190.886510437978,1545.223587981043
9,15928406996.409983,11256.210371349442,1706.1955274227003
10,15587553042.490221,12308.737461978522,1865.1200487907222
11,15255076779.45285,13348.62595048588,2022.0224402091524
12,14930772465.294544,14376.03205077595,2176.9276773503357
13,14614439410.741648,15391.110046642969,2329.8604272954512
14,14305881855.162397,16394.012315618686,2480.8450523473466
15,14004908845.526505,17384.889352525403,2629.9056137962593
16,13711334118.337357,18363.88979273801,2777.065875639015
17,13424975984.463797,19331.1604351586,2922.349308252267
18,13145657216.800243,20286.846264907228,3065.779092020357
19,12873204940.685726,21231.090475732293,3207.378120918346
20,12607450527.0141,22164.03449214405,3347.169006050778
21,12348229487.969261,23085.81799127462,3485.174079146718
22,12095381375.321045,23996.578924467947,3621.415396011608
23,11848749681.21872,24896.453538602946,3755.914739936474
24,11608181741.42096,25785.576397153236,3888.693625065005
25,11373528640.902264,26664.08040098664,4019.773299719039
26,11144645121.777613,27532.096808907707,4149.174749682951
27,10921389493.488317,28389.755257946414,4276.918701447467
28,10703623545.193592,29237.183783396187,4403.025625413396
29,10491212460.313671,30074.508838604346,4527.515739055773
30,10284024733.171614,30901.85531451802,4650.409010048923
31,10081932087.682278,31719.34655898856,4771.725159352891
32,9884809398.03816,32527.104395837443,4891.483664261755
33,9692534611.343092,33325.2491436866,5009.7037614142655
34,9504988672.145943,34113.89963455607,5126.404449767293
35,9322055448.827644,34893.173232231915,5241.60449353253
36,9143621661.796087,35663.185850407106,5355.3224250769135
37,8969576813.444397,36424.05197059836,5467.57654778721
38,8799813119.829376,37175.88465984153,5578.384938899205
39,8634225444.027798,37918.7955881684,5687.765452291936
40,8472711231.129401,38652.89504586754,5795.7357212474035
41,8315170444.826336,39378.291960531846,5902.3131611761855
42,8161505505.559896,40095.09391389554,6007.514972309368
43,8011621230.186284,40803.40715846302,6111.358142357222
44,7865424773.1240835,41503.33663393238,6213.859449135029
45,7722825568.947082,42194.98598341587,6315.035463156459
46,7583735276.386916,42878.45756946008,6414.902550194915
47,7448067723.710951,43553.85248986806,6513.476873813222
48,7315738855.441573,44221.270593326044,6610.774397862058
49,7186666680.384011,44880.81049483704,6706.81088894753
50,7060771220.930498,45532.56959096375,6801.60191886824
51,6937974463.609459,46176.64407488315,6895.1628670222635
52,6818200310.849136,46813.12895125507,6987.508922784366
53,6701374533.925835,47442.11805090703,7078.655087853864
54,6587424727.067695,48063.7040453377,7168.616178573465
55,6476280262.685597,48677.97846104107,7257.406828219468
56,6367872247.703541,49285.03169365376,7345.041489263656
57,6262133480.961493,49884.95302192738,7431.534435607252
58,6158998411.664345,50477.83062152839,7516.899764787262
59,6058403098.851323,51063.75157866737,7601.151400155568
60,5960285171.860752,51642.80190355993,7684.303093031089
61,5864583791.765764,52215.066543721274,7766.368424825355
62,5771239613.757084,52780.62939709655,7847.360809141817
63,5680194750.449642,53339.5733250289,7927.29349384922
64,5591392736.090315,53891.980165067325,8006.179563129354
65,5504778491.644691,54437.93074361632,8084.0319394995095
66,5420298290.741238,54977.50488842915,8160.86338580994
67,5337899726.451837,55510.781440946805,8236.686507216647
68,5257531678.888152,56037.838268484535,8311.513753129788
69,5179144283.593763,56558.75227626773,8385.357419138014
70,5102688900.712568,57073.59941931916,8458.229648909026
71,5028118084.91434,57582.45471419928,8530.142436066653
72,4955385556.058894,58085.39225060156,8601.107626044739
73,4884446170.580677,58582.48520280445,8671.136917918115
74,4815255893.576132,59073.805840981935,8740.241866210958
75,4747771771.576541,59559.42554237427,8808.433882682803
76,4681951905.989535,60039.41480232076,8875.724238092485
77,4617755427.192844,60513.84324515615,8942.124063940295
78,4555142469.264262,60982.77963497247,9007.644354188598
79,4494074145.332209,61446.29188624781,9072.295966961205
80,4434512523.531653,61904.44707434388,9136.089626221732
81,4376420603.550517,62357.31144587376,9199.035923431244
82,4319762293.7520685,62804.95042894164,9261.145319185394
83,4264502388.8591595,63247.428643255975,9322.428144831354
84,4210606548.1864967,63684.80991011772,9382.894604064752
85,4158041274.407514,64117.15726228517,9442.554774506889
86,4106773892.84268,64544.532953716836,9501.418609262466
87,4056772531.256469,64966.998469194055,9559.49593845806
88,4008006100.1504874,65384.61453382462,9616.796470761596
89,3960444273.540564,65797.44112242901,9673.329794883039
90,3914057470.205946,66205.53746881067,9729.105381056554
91,3868816835.3989625,66608.96207491172,9784.132582504344
92,3824694223.0038896,67007.77271985555,9838.420636882407
93,3781662178.133971,67402.02646887771,9891.978667708421
94,3739693920.1558194,67791.77968214641,9944.815685772
95,3698763326.1307206,68177.08802347409,9996.940590527516
96,3658844914.66259,68558.0064689213,10048.362171469711
97,3619913830.1426115,68934.58931529432,10099.089109492319
98,3581945827.3807917,69306.89018853771,10149.1299782299
99,3544917256.614953,69674.96205202333,10198.493245383086
